UID,track,title,authors,abstract,presentation_id,presentation_id_intro,pdf_url,date1,time1,date2,time2,room_letter1,room_letter2,room,cluster,position,cluster_name,gather_town_link
AISI-843,AI for Social Impact,Abusive Language Detection in Heterogeneous Contexts: Dataset Collection and the Role of Supervised Attention,Hongyu Gong|Alberto Valido|Katherine M Ingram|Giulia Fanti|Suma Bhat|Dorothy L Espelage,"Abusive language is a massive problem in online social platforms. Existing abusive language detection techniques are particularly ill-suited to comments containing heterogeneous abusive language patterns, i.e., both abusive and non-abusive parts. This is due in part to the lack of datasets that explicitly annotate heterogeneity in abusive language. We tackle this challenge by providing an annotated dataset of abusive language in over 11,000 comments from YouTube. We account for heterogeneity in this dataset by separately annotating both the comment as a whole and the individual sentences that comprise each comment. We then propose an algorithm that uses a supervised attention mechanism to detect and categorize abusive content using multi-task learning. We empirically demonstrate the challenges of using traditional techniques on heterogeneous content and the comparative gains in performance of the proposed approach over state-of-the-art methods.",38951027,38951067,https://www.aaai.org/AAAI21Papers/AISI-843.GongH.pdf,5-Feb,08:45AM-10:30AM,5-Feb,04:45PM-06:30PM,C,C,BC-D2-R1,K,8,AI for Social Impact,http://widget1.virtualchair.net/custom/aaai/jump?paperId=843
AISI-1058,AI for Social Impact,Learning Augmented Methods for Matching: Improving Invasive Species Management and Urban Mobility,Johan Björck|Qinru Shi|Carrie Brown-Lima|Jennifer Dean|Angela Fuller|Carla P Gomes,"With the success of machine learning, integrating learned models into real-world systems has become a critical challenge. Naively applying predictions to combinatorial optimization problems can incur high costs, which has motivated researchers to consider learning augmented algorithms that can make use of faulty or incomplete predictions. Inspired by two matching problems in computational sustainability where data is abundant, we consider the learning augmented min weight matching problem where some nodes are revealed online while others are known a priori, e.g., by being predicted by machine learning. We develop an algorithm that is able to make use of this extra information and provably improves upon pessimistic online algorithms. We evaluate our algorithm on two settings from computational sustainability -- the coordination of unreliable citizen scientists for invasive species management, and the matching between taxis and riders under uncertain trip duration predictions. In both cases, we perform extensive experiments on real-world datasets and find that our method outperforms baselines, showing how learning augmented algorithms can reliably improve solutions for problems in computational sustainability.",38951028,38951068,https://www.aaai.org/AAAI21Papers/AISI-1058.BjorckJ.pdf,5-Feb,08:45AM-10:30AM,5-Feb,04:45PM-06:30PM,C,C,BC-D2-R1,J,6,AI for Social Impact,http://widget1.virtualchair.net/custom/aaai/jump?paperId=1058
AISI-1081,AI for Social Impact,Project RISE: Recognizing Industrial Smoke Emissions,Yen-Chia Hsu|Ting-Hao K Huang|Ting-Yao Hu|Paul Dille|Sean Prendi|Ryan Hoffman|Anastasia Tsuhlares|Jessica Pachuta|Randy Sargent|Illah Nourbakhsh,"Industrial smoke emissions pose a significant concern to human health. Prior works have shown that using Computer Vision (CV) techniques to identify smoke as visual evidence can influence the attitude of regulators and empower citizens to pursue environmental justice. However, existing datasets are not of sufficient quality nor quantity to train the robust CV models needed to support air quality advocacy. We introduce RISE, the first large-scale video dataset for Recognizing Industrial Smoke Emissions. We adopted a citizen science approach to collaborate with local community members to annotate whether a video clip has smoke emissions. Our dataset contains 12,567 clips from 19 distinct views from cameras that monitored three industrial facilities. These daytime clips span 30 days over two years, including all four seasons. We ran experiments using deep neural networks to establish a strong performance baseline and reveal smoke recognition challenges. Our survey study discussed community feedback, and our data analysis displayed opportunities for integrating citizen scientists and crowd workers into the application of Artificial Intelligence for Social Impact.",38951029,38951069,https://www.aaai.org/AAAI21Papers/AISI-1081.HsuYC.pdf,6-Feb,12:45AM-02:30AM,5-Feb,04:45PM-06:30PM,A,A,AC-D2-R1,J,5,AI for Social Impact,http://widget1.virtualchair.net/custom/aaai/jump?paperId=1081
AISI-1438,AI for Social Impact,Fair and Interpretable Algorithmic Hiring Using Evolutionary Many Objective Optimization,Michael Geden|Joshua Andrews,"Hiring is a high-stakes decision-making process that balances the joint objectives of being fair and accurately selecting the top candidates. The industry standard method employs subject-matter experts to manually generate hiring algorithms; however, this method is resource intensive and finds sub-optimal solutions. Despite the recognized need for algorithmic hiring solutions to address these limitations, no reported method currently supports optimizing predictive objectives while complying to legal fairness standards. We present the novel application of Evolutionary Many-Objective Optimization (EMOO) methods to create the first fair, interpretable, and legally compliant algorithmic hiring approach. Using a proposed novel application of Dirichlet-based genetic operators for improved search, we compare state-of-the-art EMOO models (NSGA-III, SPEA2-SDE, bi-goal evolution) to expert solutions, verifying our results across three real world datasets across diverse organizational positions. Experimental results demonstrate the proposed EMOO models outperform human experts, consistently generate fairer hiring algorithms, and can provide additional lift when removing constraints required for human analysis. ",38951030,38951070,https://www.aaai.org/AAAI21Papers/AISI-1438.GedenM.pdf,6-Feb,12:45AM-02:30AM,5-Feb,08:45AM-10:30AM,D,B,AB-D2-R2,B,1,AI for Social Impact,http://widget1.virtualchair.net/custom/aaai/jump?paperId=1438
AISI-2361,AI for Social Impact,Accelerating Ecological Sciences from Above: Spatial Contrastive Learning for Remote Sensing,Johan Björck|Brendan Rapazzo|Qinru Shi|Carrie Brown-Lima|Jennifer Dean|Angela Fuller|Carla P Gomes,"The rise of neural networks has opened the door for automatic analysis of remote sensing data. A challenge to using this machinery for computational sustainability is the necessity of massive labeled data sets, which can be cost-prohibitive for many non-profit organizations. The primary motivation for this work is one such problem; the efficient management of invasive species -- invading flora and fauna that are estimated to cause damages in the billions of dollars annually. As an ongoing collaboration with a NY state foundation, we consider the use of unsupervised deep learning techniques for dimensionality reduction of remote sensing images, which can reduce sample complexity for downstream tasks and decreases the need for large labeled data sets. We consider spatially augmenting contrastive learning by training neural networks to correctly classify two nearby patches of a landscape as such. We demonstrate that this approach improves upon previous methods and naive classification for a large scale data set of remote sensing images derived from invasive species observations obtained over 30 years. Additionally, we simulate deployment in the field via active learning and evaluate this method on another important challenge in computational sustainability -- landcover classification -- and again find that it outperforms previous baselines.",38951031,38951071,https://www.aaai.org/AAAI21Papers/AISI-2361.Bjorck.pdf,6-Feb,12:45AM-02:30AM,5-Feb,08:45AM-10:30AM,D,B,AB-D2-R2,A,5,AI for Social Impact,http://widget1.virtualchair.net/custom/aaai/jump?paperId=2361
AISI-2462,AI for Social Impact,We Don't Speak the Same Language: Interpreting Polarization through Machine Translation,Ashiqur KhudaBukhsh|Rupak Sarkar|Mark Kamlet|Tom Mitchell,"Polarization among US political parties, media and elites is a widely studied topic. Prominent lines of prior research across multiple disciplines have observed and analyzed growing polarization in social media. In this paper, we present a new methodology that offers a fresh perspective on interpreting polarization through the lens of machine translation. With a novel proposition that two sub-communities are speaking in two different \emph{languages}, we demonstrate that modern machine translation methods can provide a simple yet powerful and interpretable framework to understand the differences between two (or more) large-scale social media discussion data sets at the granularity of words. Via a substantial corpus of 86.6 million comments by 6.5 million users on over 200,000 news videos hosted by YouTube channels of four prominent US news networks, we demonstrate that simple word-level and phrase-level translation pairs can reveal deep insights into the current political divide -- what is \emph{black lives matter} to one can be \emph{all lives matter} to the other.",38951032,38951072,https://www.aaai.org/AAAI21Papers/AISI-2462.KhudaBukhshA.pdf,5-Feb,08:45AM-10:30AM,5-Feb,04:45PM-06:30PM,C,C,BC-D2-R1,K,3,AI for Social Impact,http://widget1.virtualchair.net/custom/aaai/jump?paperId=2462
AISI-2820,AI for Social Impact,Early Safety Warnings for Long-Distance Pipelines: A Distributed Optical Fiber Sensor Machine Learning Approach,Yiyuan Yang|Yi Li|Taojia Zhang|Yan Zhou|Haifeng Zhang,"Automated pipeline safety early warning (PSEW) systems are designed to automatically identify and locate third-party damage events on oil and gas pipelines. They are intended to replace traditional, inefficient manual inspection methods. However, current PSEW methods cannot achieve universality for various complex environments because they are sensitive to the spatiotemporal stability of the signal obtained by its distributed sensors at various locations and times. Our research aimed to improve the accuracy of long-distance oil–gas PSEW systems through machine learning. In this paper, we propose a novel real-time action recognition method for long-distance PSEW systems based on a coherent Rayleigh scattering distributed optical fiber sensor. More specifically, we put forward two complementary feature calculation methods to describe signals and build a new action recognition deep learning network based on those features. Encouraging empirical results on the data collected at a real location confirm that the features can effectively describe signals in an environment with strong noise and weak signals, and the entire approach can identify and locate third-party damage events quickly under various hardware conditions with accuracies of 99.26% (500 Hz) and 97.20% (100 Hz). More generically, our method can be applied to other fields as well.",38951033,38951073,https://www.aaai.org/AAAI21Papers/AISI-2820.YangY.pdf,6-Feb,12:45AM-02:30AM,5-Feb,04:45PM-06:30PM,A,A,AC-D2-R1,H,3,AI for Social Impact,http://widget1.virtualchair.net/custom/aaai/jump?paperId=2820
AISI-3032,AI for Social Impact,Forecasting Reservoir Inflow via Recurrent Neural ODEs,Fan Zhou|Liang Li,"Forecasting reservoir inflow is critical for making many policies, ranging from flood control and agriculture irrigation to water ecology management, hydropower generation, and landslide prevention. Prior studies mainly exploit autoregressive models -- e.g., recurrent neural networks (RNN) and its many variants -- to model the flow time series's temporal pattern. However, existing approaches rely on regular and accurate inflow observations, which either fail to predict multi-scale inflow (e.g., an hour, a day, or a month ahead prediction) or ignore the uncertainty of observations due to confounding factors such as snowmelt and precipitation. To address the limitations, we propose a novel inflow forecasting model by incorporating the uncertainty of the observations into the RNN model and the continuous-time dynamics of the latent states with neural ordinary differential equations (ODE). Our method, called FlowODE, explicitly encodes the stochasticity of hidden conditions in addition to the temporal dependencies among inflow observations. Moreover, FlowODE explores a continuum of layers instead of discrete RNNs to model the hidden states' dynamics, allowing us to infer the inflow at any time horizon flexibly. We conduct extensive experiments on the real-world datasets collected from two large-scale hydropower dams. The results show that our method consistently outperforms previous inflow forecasting models while providing adaptable predictions and a flexible balance between prediction accuracy and computational cost.",38951034,38951074,https://www.aaai.org/AAAI21Papers/AISI-3032.ZhouFan.pdf,6-Feb,12:45AM-02:30AM,5-Feb,04:45PM-06:30PM,A,A,AC-D2-R1,J,3,AI for Social Impact,http://widget1.virtualchair.net/custom/aaai/jump?paperId=3032
AISI-3105,AI for Social Impact,Retrieve and Revise: Improving Peptide Identification with Similar Mass Spectra,Zhengcong Fei,"Tandem mass spectrometry is an indispensable technology for identification of proteins from complex mixtures. Accurate and sensitive analysis of large amounts of mass spectra data is a principal challenge in proteomics. Conventional deep learning-based peptide identification models usually adopt an encoder-decoder framework and generate target sequence from left to right without fully exploiting the global information. A few recent approaches seek to employ two-pass decoding, yet have limitations when facing the spectra filled with noise. In this paper, we propose a new paradigm for improved peptide identification, which first retrieves a similar mass spectrum from the database as a reference and then revise the matched sequence according to the difference information between the referenced spectrum and current context. The inspiration of design comes that the retrieved peptide-spectrum pair provides a good start point and indirect access to both past and future information, such that each revised amino acid can be produced with better noise perception and global understanding. Moreover, a disturb-based optimization process is introduced to sharpen the attention for difference vector with reinforcement learning before fed to decoder. Experimental results on several public datasets demonstrate that prominent performance boost is obtained with the proposed method. Remarkably, we achieve new state-of-the-art identification results on these datasets. ",38951035,38951075,https://www.aaai.org/AAAI21Papers/AISI-3105.FeiZ.pdf,6-Feb,12:45AM-02:30AM,5-Feb,04:45PM-06:30PM,A,A,AC-D2-R1,H,6,AI for Social Impact,http://widget1.virtualchair.net/custom/aaai/jump?paperId=3105
AISI-3133,AI for Social Impact,Land Deformation Prediction via Slope-Aware Graph Neural Networks,Fan Zhou|Rongfan Li|Goce Trajcevski|Kunpeng Zhang,"We introduce a slope-aware graph neural network (SA-GNN) to leverage continuously monitored data and predict the land displacement. Unlike general GNNs tackling tasks in the plain graphs, our method is capable of generalizing 3D spatial knowledge from InSAR point clouds. Specifically, we structure of the land surface, while preserving the spatial correlations among adjacent points. The point cloud can then be efficiently converted to a near-neighbor graph where general GNN methods can be applied to predict the displacement of the slope surface. We conducted experiments on real-world datasets and the  results demonstrate that SA-GNN outperforms existing 3D CNN and point GNN methods.",38951036,38951076,https://www.aaai.org/AAAI21Papers/AISI-3133.ZhouF.pdf,6-Feb,12:45AM-02:30AM,5-Feb,04:45PM-06:30PM,A,A,AC-D2-R1,J,1,AI for Social Impact,http://widget1.virtualchair.net/custom/aaai/jump?paperId=3133
