UID,title,authors,abstract,pdf_url,date1,time1,date2,time2,room_letter1,room_letter2,room,cluster,position,cluster_name,gather_town_link
DEMO-6,EasyRL: A Simple and Extensible Reinforcement Learning Framework,Neil Hulbert|Sam Spillers|Brandon Francis|James Haines-Temons|Ken Gil Romero|Benjamin De Jager|Sam Wong|Kevin Flora|Bowei Huang|Athirai A. Irissappane,"In recent years, Reinforcement Learning (RL), has become a popular field of study as well as a tool for enterprises working on cutting-edge artificial intelligence research. To this end, many researchers have built RL frameworks such as openAI Gym, and KerasRL for ease of use. While these works have made great strides towards bringing down the barrier of entry for those new to RL, we propose a much simpler framework called EasyRL, by providing an interactive graphical user interface for users to train and evaluate RL agents. As it is entirely graphical, EasyRL does not require programming knowledge for training and testing simple built-in RL agents. EasyRL also supports custom RL agents and environments, which can be highly beneficial for RL researchers in evaluating and comparing their RL models.",https://www.aaai.org/AAAI21Papers/DEMO-6.HulbertN.pdf,7-Feb,,,,Z,,DEMO-D4-A,A,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-6
DEMO-12,Fashion Focus: Multi-Modal Retrieval System for Video Commodity Localization in E-Commerce,Yanhao Zhang|Qiang Wang|Pan Pan|Yun Zheng|Cheng Da|Siyang Sun|Yinghui Xu,"Nowadays, live-stream and short video shopping in E-commerce have grown exponentially. However, the sellers are required to manually match images of the selling products to the timestamp of exhibition in the untrimmed video, resulting in a complicated process. To solve the problem, we present an innovative demonstration of multi-modal retrieval system called ``Fashion Focus'', which enables to exactly localize the product images in the online video as the focuses. Different modality contributes to the community localization, including visual content, linguistic features and interaction context are jointly investigated via presented multi-modal learning. Our system employs two procedures for analysis, including video content structuring and multi-modal retrieval, to automatically achieve accurate video-to-shop matching. Fashion Focus presents a unified framework that can orientate the consumers towards relevant product exhibitions during watching videos and help the sellers to effectively deliver the products over search and recommendation.",https://www.aaai.org/AAAI21Papers/DEMO-12.ZhangY.pdf,4-Feb,,,,Z,,DEMO-D1-A,A,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-12
DEMO-91,Interactive Video Object Mask Annotation,Trung-Nghia Le|Tam V. Nguyen|Quoc-Cuong Tran|Lam Nguyen|Trung-Hieu Hoang|Minh-Quan Le|Minh-Triet Tran,"In this paper, we introduce a practical system for interactive video object mask annotation, which can support multiple back-end methods. To demonstrate the generalization of our system, we introduce a novel approach for video object annotation. Our proposed system takes scribbles at a chosen key-frame from the end-users via a user-friendly interface and produces masks of corresponding objects at the key-frame via the Control-Point-based Scribbles-to-Mask (CPSM) module. The object masks at the key-frame are then propagated to other frames and refined through the Multi-Referenced Guided Segmentation (MRGS) module. Last but not least, the user can correct wrong segmentation at some frames, and the corrected mask is continuously propagated to other frames in the video via the MRGS to produce the object masks at all video frames.",https://www.aaai.org/AAAI21Papers/DEMO-91.LeTN.pdf,4-Feb,,,,Z,,DEMO-D1-B,B,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-91
DEMO-93,CamouFinder: Finding Camouflaged Instances in Images,Trung-Nghia Le|Vuong Nguyen|Cong Le|Tan-Cong Nguyen|Minh-Triet Tran|Tam V. Nguyen,"In this paper, we investigate the interesting yet challenging problem of camouflaged instance segmentation. To this end, we first annotate the available CAMO dataset at the instance level. We also embed the data augmentation in order to increase the number of training samples. Then, we train different state-of-the-art instance segmentation on the CAMO-instance data. Last but not least, we develop an interactive user interface which demonstrates the performance of different state-of-the-art instance segmentation methods on the task of camouflaged instance segmentation. The users are able to compare the results of different methods on the given input images. Our work is expected to push the envelope of the camouflage analysis problem.",https://www.aaai.org/AAAI21Papers/DEMO-93.LeTN.pdf,7-Feb,,,,Z,,DEMO-D4-B,B,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-93
DEMO-97,i-Parser: Interactive Parser Development Kit for Natural Language Processing,Gaku Morio|Hiroaki Ozaki|Yuta Koreeda|Terufumi Morishita|Toshinori Miyoshi,"This demonstration paper presents i-Parser, a novel development kit that produces high-performance semantic parsers. i-Parser converts training graphs into sequences written in a context-free language, then our proposed model learns to generate the sequences. With interactive configuration and visualization, users can easily build their own parsers. Benchmark results of i-Parser showed high performances of various parsing tasks in natural language processing.",https://www.aaai.org/AAAI21Papers/DEMO-97.MorioG.pdf,5-Feb,,,,Z,,DEMO-D2-A,A,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-97
DEMO-104,RadarMath: An Intelligent Tutoring System for Math Education,Yu Lu|Yang Pian|Penghe Chen|Qinggang Meng|Yunbo Cao,"We propose and implement a novel intelligent tutoring system, called RadarMath, to support intelligent and personalized learning for math education. The system provides the services including automatic grading and personalized learning guidance. Specifically, two automatic grading models are designed to accomplish the tasks for scoring the text-answer and formula-answer questions respectively. An education-oriented knowledge graph with the individual learner’s knowledge state is used as the key tool for guiding the personalized learning process. The system demonstrates how the relevant AI techniques could be applied in today's intelligent tutoring systems.",https://www.aaai.org/AAAI21Papers/DEMO-104.LuY.pdf,5-Feb,,,,Z,,DEMO-D2-B,B,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-104
DEMO-105,OPRA: An Open-Source Online Preference Reporting and Aggregation System,Yiwei Chen|Jingwen Qian|Junming Wang|Lirong Xia|Gavriel Zahavi,"We introduce the Online Preference Reporting and Aggregation (OPRA) system, an open-source online system that aims at providing support for group decision-making. We illustrate OPRA's distinctive features: UI for reporting rankings with ties, comprehensive analytics of preferences, and group decision-making in combinatorial domains. We also discuss our work in an automatic mentor matching system. We hope that the open-source nature of OPRA will foster development of computerized group decision support systems.",https://www.aaai.org/AAAI21Papers/DEMO-105.ChenY.pdf,4-Feb,,,,Z,,DEMO-D1-C,C,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-105
DEMO-109,EasyASR: A Distributed Machine Learning Platform for End-to-End Automatic Speech Recognition,Chengyu Wang|Mengli Cheng|Xu Hu|Jun Huang,"We present EasyASR, a distributed machine learning platform for training and serving large-scale Automatic Speech Recognition (ASR) models, as well as collecting and processing audio data at scale. Our platform is built upon the Machine Learning Platform for AI of Alibaba Cloud. Its main functionality is to support efficient learning and inference for end-to-end ASR models on distributed GPU clusters. It allows users to learn ASR models with either pre-defined or user-customized network architectures via simple user interface. On EasyASR, we have produced state-of-the-art results over several public datasets for Mandarin speech recognition.",https://www.aaai.org/AAAI21Papers/DEMO-109.WangC.pdf,7-Feb,,,,Z,,DEMO-D4-C,C,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-109
DEMO-124,Business Entity Matching with Siamese Graph Convolutional Networks,Evgeny Krivosheev|Mattia Atzeni|Katsiaryna Mirylenka|Paolo Scotton|Christoph Miksovic|Anton Zorin,"Data integration has been studied extensively for decades and approached from different angles. However, this domain still remains largely rule-driven and lacks universal automation. Recent developments in machine learning and in particular deep learning have opened the way to more general and efficient solutions to data-integration tasks. In this paper, we demonstrate an approach that allows modeling and integrating entities by leveraging their relations and contextual information. This is achieved by combining siamese and graph neural networks to effectively propagate information between connected entities and support high scalability. We evaluated our approach on the task of integrating data about business entities, demonstrating that it outperforms both traditional rule-based systems and other deep learning approaches.",https://www.aaai.org/AAAI21Papers/DEMO-124.KrivosheevE.pdf,4-Feb,,,,Z,,DEMO-D1-D,D,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-124
DEMO-134,Integrating Pre-trained Model into Rule-Based Dialogue Management,Jun Quan|Meng Yang|Qiang Gan|Deyi Xiong|Yiming Liu|Yuchen Dong|Fangxin Ouyang|Jun Tian|Ruiling Deng|Yongzhi Li|Yang Yang|Daxin Jiang,"Rule-based dialogue management is still the most popular solution for industrial task-oriented dialogue systems for their interpretablility. However, it is hard for developers to maintain the dialogue logic when the scenarios get more and more complex. On the other hand, data-driven dialogue systems, usually with end-to-end structures, are popular in academic research and easier to deal with complex conversations, but such methods require plenty of training data and the behaviors are less interpretable. In this paper, we propose a method to leverages the strength of both rule-based and data-driven dialogue managers (DM). We firstly introduce the DM of Carina Dialog System (CDS, an advanced industrial dialogue system built by Microsoft). Then we propose the ""model-trigger"" design to make the DM trainable thus scalable to scenario changes. Furthermore, we integrate pre-trained models and empower the DM with few-shot capability. The experimental results demonstrate the effectiveness and strong few-shot capability of our method.",https://www.aaai.org/AAAI21Papers/DEMO-134.QuanJ.pdf,4-Feb,,,,Z,,DEMO-D1-E,E,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-134
