UID,track,title,authors,abstract,presentation_id,presentation_id_intro,pdf_url,date1,time1,date2,time2,room_letter1,room_letter2,room,cluster,position,cluster_name,gather_town_link
IAAI-17,TOOL,HetSeq: Distributed GPU Training on Heterogeneous Infrastructure,Yifan Ding|Nicholas Botzer|Tim Weninger,"Modern deep learning systems like PyTorch and Tensorflow are able to train enormous models with billions (or trillions) of parameters on a distributed infrastructure. These systems require that the internal nodes have the same memory capacity and compute performance. Unfortunately, most organizations, especially universities, have a piecemeal approach to purchasing computer systems resulting in a heterogeneous infrastructure, which cannot be used to compute large models. The present work describes HetSeq, a software package adapted from the popular PyTorch package that provides the capability to train large neural network models on heterogeneous infrastructure. Experiments with language translation, text and image classification shows that HetSeq scales over heterogeneous systems. Additional information, support documents, source code are publicly available at https://github.com/yifding/hetseq.",38951107,38951153,https://www.aaai.org/AAAI21Papers/IAAI-17.DingY.pdf,6-Feb,,,,G,,IAAI-D3-B,B,1,AI,http://widget1.virtualchair.net/custom/aaai/jump?paperId=IAAI-17
IAAI-21,EMERGING,JEL: Applying End-to-End Neural Entity Linking in JPMorgan Chase,Wanying Ding|Vinay K. Chaudhri|Naren Chittar|Krihshna Konakanchi,"Knowledge Graphs have emerged as a compelling abstraction for capturing key relationship among the entities of interest to enterprises and for integrating data from heterogeneous sources. JPMorgan Chase (JPMC) is leading this trend by leveraging knowledge graphs across the organization for multiple mission critical applications such as risk assessment, fraud detection, investment advice, etc. A core problem in leveraging a knowledge graph is to link mentions (e.g., company names) that are encountered in textual sources to entities in the knowledge graph. Although several techniques exist for entity linking, they are tuned for entities that exist in Wikipedia, and fail to generalize for the entities that are of interest to an enterprise. In this paper, we propose a novel end-to-end neural entity linking model (JEL) that uses minimal context information and a margin loss to generate entity embeddings, and a Wide & Deep Learning model to match character and semantic information respectively. We show that JEL achieves the state-of-the-art performance to link mentions of company names in financial news with entities in our knowledge graph. We report on our efforts to deploy this model in the company-wide system to generate alerts in response to financial news. The methodology used for JEL is directly applicable and usable by other enterprises who need entity linking solutions for data that are unique to their respective situations.",38951108,38951154,https://www.aaai.org/AAAI21Papers/IAAI-21.DingW.pdf,5-Feb,,,,G,,IAAI-D2-B,B,1,knowledge,http://widget1.virtualchair.net/custom/aaai/jump?paperId=IAAI-21
IAAI-23,DEPLOYED,Enhancing E-commerce Recommender System Adaptability with Online Deep Controllable Learning-to-Rank,Anxiang Zeng|Han Yu|Hualin He|Yabo Ni|Yongliang Li|Jingren Zhou|Chunyan Miao,"In the past decade, recommender systems for e-commerce have witnessed significant advancement. Recommendation scenarios can be divided into different type (e.g., pre-, during-, post-purchase, campaign, promotion, bundle) for different user groups or different businesses. For different scenarios, the goals of recommendation are different. This is reflected by the different performance metrics employed. In addition, online promotional campaigns, which attract high traffic volumes, are also a critical factor affecting e-commerce recommender systems. Typically, prior to a promotional campaign, the Add-to-Cart Rate (ACR) is the target of optimization. During the campaign, this changes to Gross Merchandise Volumes (GMV). Immediately after the campaign, it becomes Click Through Rates CTR. Dynamically adapting among these potentially conflicting optimization objectives is an important capability for recommender systems deployed in real-world e-commerce platforms. In this paper, we report our experience designing and deploying the Deep Controllable Learning-To-Rank (DC-LTR) recommender system to address this challenge. It enhances the feedback controller in LTR with multi-objective optimization so as to maximize different objectives under constraints. Its ability to dynamically adapt to changing business objectives has resulted in significant business advantages. Since September 2019, DC-LTR has become a core service enabling adaptive online training and real-time deployment ranking models based on changing business objectives in AliExpress and Lazada. Under both everyday use scenarios and peak load scenarios during large promotional campaigns, DC-LTR has achieved significant improvements in satisfying real-world business objectives.",38951109,38951155,https://www.aaai.org/AAAI21Papers/IAAI-23.ZengA.pdf,4-Feb,,,,G,,IAAI-D1-A,A,4,commerce,http://widget1.virtualchair.net/custom/aaai/jump?paperId=IAAI-23
IAAI-31,CHALLENGE,Preventing Repeated Real World AI Failures by Cataloging Incidents: The AI Incident Database,Sean McGregor,"Mature industrial sectors (e.g., aviation) collect their real world failures in incident databases to inform safety improvements. Intelligent systems currently cause real world harms without a collective memory of their failings. As a result, companies repeatedly make the same mistakes in the design, development, and deployment of intelligent systems. A collection of intelligent system failures experienced in the real world (i.e., incidents) is needed to ensure intelligent systems benefit people and society. The AI Incident Database is an incident collection initiated by an industrial/non-profit cooperative to enable AI incident avoidance and mitigation. The database supports a variety of research and development use cases with faceted and full text search on more than 1,000 incident reports archived to date.",38951110,38951156,https://www.aaai.org/AAAI21Papers/IAAI-31.McGregorS.pdf,6-Feb,,,,G,,IAAI-D3-A,A,4,AI,http://widget1.virtualchair.net/custom/aaai/jump?paperId=IAAI-31
IAAI-34,EMERGING,VRU Pose-SSD: Multiperson Pose Estimation for Automated Driving,Chandan Kumar|Jayanth Ramesh|Bodhisattwa Chakraborty|Renjith Raman|Christoph Weinrich|Anurag Mundhada|Arjun Jain|Fabian B. Flohr,"We present a fast and efficient approach for joint person detection and pose estimation optimized for automated driving (AD) in urban scenarios. We use a multitask weight sharing architecture to jointly train detection and pose estimation. This modular architecture allows us to accommodate different downstream tasks in the future. By systematic large-scale experiments on the Tsinghua-Daimler Urban Pose Dataset (TDUP), we obtain multiple models with varying accuracy-speed trade-offs. We then quantize and optimize our network for deployment and present a detailed analysis of the efficacy of the algorithm. We introduce a two-stage evaluation strategy, which is more suitable for AD and achieve a significant performance improvement in comparison to state-of-the-art approaches. Our optimized model runs at 52~fps on full HD images and still reaches a competitive performance of 32.25~LAMR. We are confident that our work serves as an enabler to tackle higher-level tasks like VRU intention estimation and gesture recognition, which rely on stable pose estimates and will play a crucial role in future AD systems.",38951111,38951157,https://www.aaai.org/AAAI21Papers/IAAI-34.KumarC.pdf,6-Feb,,,,G,,IAAI-D3-D,D,3,driving,http://widget1.virtualchair.net/custom/aaai/jump?paperId=IAAI-34
IAAI-37,TOOL,Representing the Unification of Text Featurization Using a Context-Free Grammar,Doruk Kilitcioglu|Serdar Kadioglu,"We propose a novel context-free grammar to represent text embeddings in conjunction with their various transformations. We show how this grammar can serve as a unification layer on top of different featurization techniques, and their hybridization thereof. The approach is embodied in an open-source library, called TextWiser, with a high-level user interface to serve researchers and practitioners. The goal of TextWiser is to enable rapid experimentation with various featurization methods and to serve as a building block within AI applications consuming unstructured data. We highlight several key benefits that are desirable especially in industrial settings where rapid experimentation, reusability, reproducibility, and time to market are of great interest. Finally, we showcase a deployed service powered by TextWiser as a proof-of-concept enterprise application.",38951112,38951158,https://www.aaai.org/AAAI21Papers/IAAI-37.KilitciogluD.pdf,5-Feb,,,,G,,IAAI-D2-C,C,1,knowledge,http://widget1.virtualchair.net/custom/aaai/jump?paperId=IAAI-37
IAAI-43,CHALLENGE,Combining Machine Learning and Human Experts to Predict Match Outcomes in Football: A Baseline Model,Ryan Beal|Stuart E. Middleton|Timothy J. Norman|Sarvapali D. Ramchurn,"In this paper, we present a new application-focused benchmark dataset and results from a set of baseline Natural Language Processing and Machine Learning models for prediction of match outcomes for games of football (soccer). By doing so we give a baseline for the prediction accuracy that can be achieved exploiting both statistical match data and contextual articles from human sports journalists. Our dataset is focuses on a representative time-period over 6 seasons of the English Premier League, and includes newspaper match previews from The Guardian. The models presented in this paper achieve an accuracy of 63.18% showing a 6.9% boost on the traditional statistical methods.",38951113,38951159,https://www.aaai.org/AAAI21Papers/IAAI-43.BealR.pdf,5-Feb,,,,G,,IAAI-D2-D,D,2,prediction,http://widget1.virtualchair.net/custom/aaai/jump?paperId=IAAI-43
IAAI-55,EMERGING,Predicting Mining Industry Accidents with a Multi-Task Learning Approach,Rodolfo Palma|Luis Martí|Nayat Sanchez-Pi,"The mining sector is a very relevant part of the  Chilean economy, representing more than 14\% of the country’s GDP and more than 50\% of its exports. However, mining is also a high-risk activity where health, safety, and environmental aspects are fundamental concerns to take into account to render it viable in the longer term. The Chilean National Geology and Mining Service (SERNAGEOMIN, after its name in Spanish) is in charge of ensuring the safe operation of mines. On-site inspections are their main tool in order to detect issues, propose corrective measures, and track the compliance of those measures.  Consequently, it is necessary to create inspection programs relying on a data-based decision-making strategy.        This paper reports the work carried out in one of the most relevant dimensions of said strategy: predicting the mining worksites accident risk. That is, how likely it is a mining worksite to have accidents in the future. This risk is then used to create a priority ranking that is used to devise the inspection program. Estimating this risk at the government regulator level is particularly challenging as there is a very limited and biased data.        Our main contribution is to apply a multi-task learning approach to train the risk prediction model in such a way that is able to overcome the constraints of the limited availability of data by fusing different sources. As part of this work, we also implemented a human-experience-based model that captures the procedures currently used by the current experts in charge of elaborating the inspection priority ranking.        The mining worksites risk rankings built by model achieve a 121.2% NDCG performance improvement over the rankings based on the currently used experts’ model and outperforms the non-multi-task learning alternatives.",38951114,38951160,https://www.aaai.org/AAAI21Papers/IAAI-55.PalmaR.pdf,5-Feb,,,,G,,IAAI-D2-D,D,3,prediction,http://widget1.virtualchair.net/custom/aaai/jump?paperId=IAAI-55
IAAI-59,EMERGING,Ontology-Enriched Query Answering on Relational Databases,Shqiponja Ahmetaj|Vasilis Efthymiou|Ronald Fagin|Phokion G. Kolaitis|Chuan Lei|Fatma Ozcan|Lucian Popa,"We develop a flexible, open-source framework for query answering on relational databases by adopting methods and techniques from the Semantic Web community and the data exchange community, and we apply this framework to a medical use case. We first deploy module-extraction techniques to derive a concise and relevant sub-ontology from an external reference ontology. We then use the chase procedure from the data exchange community to materialize a universal solution that can be subsequently used to answer queries on an enterprise medical database. Along the way, we identify a new class of well-behaved acyclic EL-ontologies extended with role hierarchies, suitably restricted functional roles, and domain/range restrictions, which cover our use case. We show that such ontologies are C-stratified, which implies that the chase procedure terminates in polynomial time. We provide a detailed overview of our real-life application in the medical domain and demonstrate the benefits of this approach, such as discovering additional answers and formulating new queries.",38951115,38951161,https://www.aaai.org/AAAI21Papers/IAAI-59.AhmetajS.pdf,5-Feb,,,,G,,IAAI-D2-B,B,2,knowledge,http://widget1.virtualchair.net/custom/aaai/jump?paperId=IAAI-59
IAAI-60,EMERGING,Finding Needles in Heterogeneous Haystacks,Bijaya Adhikari|Liangyue Li|Nikhil Rao|Karthik Subbian,"Due to intense competition and lack of real estate on the front page of large e-commerce platforms, sellers are sometimes motivated to garner non-genuine signals (clicks, add-to-carts, purchases) on their products, to make them appear more appealing to customers. This hurts customers' trust on the platform, and also hurts genuine sellers who sell their items without looking to game the system. While it is important to find the sellers and the buyers who are colluding to garner these non-genuine signals, doing so is highly nontrivial. Firstly, the set of bad actors in the system is a very small fraction of all the buyers/sellers on the platform. Secondly, bad actors ``hide"" with the good ones, making them hard to detect. In this paper, we develop CONGCN, a context aware heterogeneous graph convolutional network to detect bad actors on a large heterogeneous graph. While our method is motivated by abuse detection in e-commerce, the method is applicable to other areas such as computational biology and finance, where large heterogeneous graphs are pervasive, and the amount of labeled data is very limited. We train CONGCN via novel sampling methods, and context aware message passing in a semi-supervised fashion to predict dishonest buyers and sellers in e-commerce. Extensive experiments show that our method is effective, beating several baselines; generalizable to an inductive setting and highly scalable",38951116,38951162,https://www.aaai.org/AAAI21Papers/IAAI-60.AdhikariB.pdf,6-Feb,,,,G,,IAAI-D3-A,A,1,AI,http://widget1.virtualchair.net/custom/aaai/jump?paperId=IAAI-60
