UID,title,authors,track,abstract,presentation_id,presentation_id_intro,pdf_url,date1,time1,date2,time2,room_letter1,room_letter2,room,cluster,position,cluster_name,gather_town_link
AAAI-4,Multi-Domain Multi-Task Rehearsal for Lifelong Learning,Fan Lyu|Shuai Wang|Wei Feng|Zihan Ye|Fuyuan Hu|Song Wang,Main Track,"Rehearsal, seeking to remind the model by storing old knowledge in lifelong learning, is one of the most effective ways to mitigate catastrophic forgetting, i.e., biased forgetting of previous knowledge when moving to new tasks. However, the old tasks of the most previous rehearsal-based methods suffer from the unpredictable domain shift when training the new task. This is because these methods always ignore two significant factors. First, the Data Imbalance between the new task and old tasks that makes the domain of old tasks prone to shift. Second, the Task Isolation among all tasks will make the domain shift toward unpredictable directions; To address the unpredictable domain shift, in this paper, we propose Multi-Domain Multi-Task (MDMT) rehearsal to train the old tasks and new task parallelly and equally to break the isolation among tasks. Specifically, a two-level angular margin loss is proposed to encourage the intra-class/task compactness and inter-class/task discrepancy, which keeps the model from domain chaos. In addition, to further address domain shift of the old tasks, we propose an optional episodic distillation loss on the memory to anchor the knowledge for each old task. Experiments on benchmark datasets validate the proposed approach can effectively mitigate the unpredictable domain shift.",38947715,38949371,https://www.aaai.org/AAAI21Papers/AAAI-4.LyuF.pdf,7-Feb,08:45AM-10:30AM,7-Feb,04:45PM-06:30PM,D,D,BC-D4-R2,B,8,Transfer/Adaptation/Multi-task/Meta/Automated Learning,http://widget1.virtualchair.net/custom/aaai/jump?paperId=4
AAAI-26,EfficientDeRain: Learning Pixel-Wise Dilation Filtering for High-Efficiency Single-Image Deraining,Qing Guo|Jingyang Sun|Felix Juefei-Xu|Lei Ma|Xiaofei Xie|Wei Feng|Yang Liu|Jianjun Zhao,Main Track,"Single-image deraining is rather challenging due to the unknown rain model. Existing methods often make specific assumptions of the rain model, which can hardly cover many diverse circumstances in the real world, compelling them to employ complex optimization or progressive refinement. This, however, significantly affects these methods' efficiency and effectiveness for many efficiency-critical applications. To fill this gap, in this paper, we regard the single-image deraining as a general image-enhancing problem and originally propose a model-free deraining method, i.e., EfficientDeRain, which is able to process a rainy image within 10 ms (i.e., around 6 ms on average), over 80 times faster than the state-of-the-art method (i.e., RCDNet), while achieving similar de-rain effects. We first propose the novel pixel-wise dilation filtering. In particular, a rainy image is filtered with the pixel-wise kernels estimated from a kernel prediction network, by which suitable multi-scale kernels for each pixel can be efficiently predicted. Then, to eliminate the gap between synthetic and real data, we further propose an effective data augmentation method (i.e., RainMix) that helps to train the network for handling real rainy images. We perform a comprehensive evaluation on both synthetic and real-world rainy datasets to demonstrate the effectiveness and efficiency of our method. We release the model and code in https://github.com/tsingqguo/efficientderain.git.",38947716,38949372,https://www.aaai.org/AAAI21Papers/AAAI-26.GuoQ.pdf,7-Feb,08:45AM-10:30AM,7-Feb,04:45PM-06:30PM,C,C,BC-D4-R1,K,4,Applications,http://widget1.virtualchair.net/custom/aaai/jump?paperId=26
AAAI-36,Understanding Deformable Alignment in Video Super-Resolution,Kelvin C.K. Chan|Xintao Wang|Ke Yu|Chao Dong|Chen Change Loy,Main Track,"Deformable convolution, originally proposed for the adaptation to geometric variations of objects, has recently shown compelling performance in aligning multiple frames and is increasingly adopted for video super-resolution. Despite its remarkable performance, its underlying mechanism for alignment remains unclear. In this study, we carefully investigate the relation between deformable alignment and the classic flow-based alignment. We show that deformable convolution can be decomposed into a combination of spatial warping and convolution. This decomposition reveals the commonality of deformable alignment and flow-based alignment in formulation, but with a key difference in their offset diversity. We further demonstrate through experiments that the increased diversity in deformable alignment yields better-aligned features, and hence significantly improves the quality of video super-resolution output. Based on our observations, we propose an offset-fidelity loss that guides the offset learning with optical flow. Experiments show that our loss successfully avoids the overflow of offsets and alleviates the instability problem of deformable alignment. Aside from the contributions to deformable alignment, our formulation inspires a more flexible approach to introduce offset diversity to flow-based alignment, improving its performance.",38947717,38949373,https://www.aaai.org/AAAI21Papers/AAAI-36.ChanKCK.pdf,6-Feb,12:45AM-02:30AM,5-Feb,04:45PM-06:30PM,B,B,AC-D2-R2,K,1,Low Level & Physics-based Vision,http://widget1.virtualchair.net/custom/aaai/jump?paperId=36
AAAI-38,A SAT-Based Resolution of Lam's Problem,Curtis Bright|Kevin Cheung|Brett Stevens|Ilias Kotsireas|Vijay Ganesh,Main Track,"In 1989, computer searches by Lam, Thiel, and Swiercz experimentally resolved Lam's problem from projective geometry—the long-standing problem of determining if a projective plane of order ten exists.  Both the original search and an independent verification in 2011 discovered no such projective plane.  However, these searches were each performed using highly specialized custom-written code and did not produce nonexistence certificates.  In this paper, we resolve Lam's problem by translating the problem into Boolean logic and use satisfiability (SAT) solvers to produce nonexistence certificates that can be verified by a third party.  Our work uncovered consistency issues in both previous searches—highlighting the difficulty of relying on special-purpose search code for nonexistence results.",38947718,38949374,https://www.aaai.org/AAAI21Papers/AAAI-38.BrightC.pdf,4-Feb,08:45AM-10:30AM,4-Feb,04:45PM-06:30PM,C,C,BC-D1-R1,A,1,Constraint Satisfaction and Optimization,http://widget1.virtualchair.net/custom/aaai/jump?paperId=38
AAAI-39,Nearest Neighbor Classifier Embedded Network for Active Learning,Fang Wan|Tianning Yuan|Mengying Fu|Xiangyang Ji|Qingming Huang|Qixiang Ye,Main Track,"Deep neural networks (DNNs) have been widely applied to active learning. Despite of its effectiveness, the generalization ability of the discriminative classifier (the softmax classifier) is questionable when there is a significant distribution bias between the labeled set and the unlabeled set. In this paper, we attempt to replace the softmax classifier in deep neural network with a nearest neighbor classifier, considering its progressive generalization ability within the unknown sub-space. Our proposed active learning approach, termed nearest Neighbor Classifier Embedded network (NCE-Net), targets at reducing the risk of over-estimating unlabeled samples while improving the opportunity to query informative samples. NCE-Net is conceptually simple but surprisingly powerful, as justified from the perspective of the subset information, which defines a metric to quantify model generalization ability in active learning. Experimental results show that, with simple selection based on rejection or confusion confidence, NCE-Net improves state-of-the-arts on image classification and object detection tasks with significant margins.",38947719,38949375,https://www.aaai.org/AAAI21Papers/AAAI-39.WanF.pdf,8-Feb,12:45AM-02:30AM,7-Feb,04:45PM-06:30PM,A,A,AC-D4-R1,K,3,Active / Weakly-Supervised / Semi-Supervised Learning,http://widget1.virtualchair.net/custom/aaai/jump?paperId=39
AAAI-43,Shape-Pose Ambiguity in Learning 3D Reconstruction from Images,Yunjie Wu|Zhengxing Sun|Youcheng Song|Yunhan Sun|YiJie Zhong|Jinlong Shi,Main Track,"Learning single-image 3D reconstruction with only 2D images supervision is a promising research topic. The main challenge in image-supervised 3D reconstruction is the shape-pose ambiguity, which means a 2D supervision can be explained by an erroneous 3D shape from an erroneous pose. It will introduce high uncertainty and mislead the learning process. Existed works rely on multi-view images or pose-aware annotations to resolve the ambiguity. In this paper, we propose to resolve the ambiguity without extra pose-aware labels or annotations. Our training data is single-view images from the same object category. To overcome the shape-pose ambiguity, we introduce a pose-independent GAN to learn the category-specific shape manifold from the image collections. With the learned shape space, we resolve the shape-pose ambiguity in original images by training a pseudo pose regressor. Finally, we learn a reconstruction network with both the common re-projection loss and a pose-independent discrimination loss, making the results plausible from all views. Through experiments on synthetic and real image datasets, we demonstrate that our method can perform comparably to existing methods while not requiring any extra pose-aware annotations, making it more applicable and adaptable.",38947720,38949376,https://www.aaai.org/AAAI21Papers/AAAI-43.WuY.pdf,7-Feb,12:45AM-02:30AM,6-Feb,08:45AM-10:30AM,D,B,AB-D3-R2,H,1,3D Computer Vision,http://widget1.virtualchair.net/custom/aaai/jump?paperId=43
AAAI-44,Why Adversarial Interaction Creates Non-Homogeneous Patterns: A Pseudo-Reaction-Diffusion Model for Turing Instability,Litu Rout,Main Track,"Long after Turing's seminal Reaction-Diffusion (RD) model, the elegance of his fundamental equations alleviated much of the skepticism surrounding pattern formation. Though Turing model is a simplification and an idealization, it is one of the best-known theoretical models to explain patterns as a reminiscent of those observed in nature. Over the years, concerted efforts have been made to align theoretical models to explain patterns in real systems. The apparent difficulty in identifying the specific dynamics of the RD system makes the problem particularly challenging. Interestingly, we observe Turing-like patterns in a system of neurons with adversarial interaction. In this study, we establish the involvement of Turing instability to create such patterns. By theoretical and empirical studies, we present a \textit{pseudo-reaction-diffusion} model to explain the mechanism that may underlie these phenomena. While supervised learning attains homogeneous equilibrium, this paper suggests that the introduction of an adversary helps break this homogeneity to create non-homogeneous patterns at equilibrium. Further, we prove that randomly initialized gradient descent with over-parameterization can converge exponentially fast to an $\epsilon$-stationary point even under adversarial interaction. In addition, different from sole supervision, we show that the solutions obtained under adversarial interaction are not limited to a tiny subspace around initialization.",38947721,38949377,https://www.aaai.org/AAAI21Papers/AAAI-44.RoutL.pdf,8-Feb,12:45AM-02:30AM,7-Feb,08:45AM-10:30AM,D,B,AB-D4-R2,E,5,"Adversarial Learning, Attacks & Robustness",http://widget1.virtualchair.net/custom/aaai/jump?paperId=44
AAAI-63,Building Interpretable Interaction Trees for Deep NLP Models,Die Zhang|HuiLin Zhou|Xiaoyi Bao|Da Huo|Ruizhao Chen|Hao Zhang|Xu Cheng|Mengyue Wu|Quanshi Zhang,Main Track,"This paper proposes a method to disentangle and quantify interactions among words that are encoded inside a DNN for natural language processing. We construct a tree to encode salient interactions extracted by the DNN. Six metrics are proposed to analyze properties of interactions between constituents in a sentence. The interaction is defined based on Shapley values of words, which are considered as an unbiased estimation of word contributions to the network prediction. Our method is used to quantify word interactions encoded inside the BERT, ELMo, LSTM, CNN, and Transformer networks. Experimental results have provided a new perspective to understand these DNNs, and have demonstrated the effectiveness of our method. The code will be released when the paper is accepted.",38947722,38949378,https://www.aaai.org/AAAI21Papers/AAAI-63.ZhangD.pdf,5-Feb,12:45AM-02:30AM,4-Feb,08:45AM-10:30AM,D,B,AB-D1-R2,A,5,Interpretaility & Analysis of Models,http://widget1.virtualchair.net/custom/aaai/jump?paperId=63
AAAI-67,Revisiting Dominance Pruning in Decoupled Search,Daniel Gnad,Main Track,"In classical planning as search, duplicate state pruning is a standard method to avoid unnecessarily handling the same state multiple times. In decoupled search, similar to symbolic search approaches, search nodes, called decoupled states, do not correspond to individual states, but to sets of states. Therefore, duplicate state pruning is less effective in decoupled search, and dominance pruning is employed, taking into account the state sets. We observe that the time required for dominance checking dominates the overall runtime, and propose two ways to tackle this issue. Our main contribution (1) is a stronger variant of dominance checking for optimal planning, where efficiency and pruning power are most crucial. The new variant greatly improves the latter, without incurring a computational overhead. Furthermore, (2) we develop and implement three methods that make the dominance check more efficient: exact duplicate checking, which, albeit resulting in weaker pruning, can pay off due to the use of hashing; avoiding the dominance check when leaf state spaces are invertible; and exploiting the transitivity of the dominance relation to only check against the relevant subset of visited decoupled states. We show empirically that all our improvements are indeed beneficial in many standard benchmark domains.",38947723,38949379,https://www.aaai.org/AAAI21Papers/AAAI-67.GnadD.pdf,5-Feb,12:45AM-02:30AM,4-Feb,08:45AM-10:30AM,C,A,AB-D1-R1,C,7,Deterministic Planning,http://widget1.virtualchair.net/custom/aaai/jump?paperId=67
AAAI-68,Meta-Transfer Learning for Low-Resource Abstractive Summarization,Yi-Syuan Chen|Hong-Han Shuai,Main Track,"Neural abstractive summarization has been studied in many pieces of literature and achieves great success with the aid of large corpora. However, when encountering novel tasks, one may not always benefit from transfer learning due to the domain shifting problem, and overfitting could happen without adequate labeled examples. Furthermore, the annotations of abstractive summarization are costly, which often demand domain knowledge to ensure the ground-truth quality. Thus, there are growing appeals for Low-Resource Abstractive Summarization, which aims to leverage past experience to improve the performance with limited labeled examples of target corpus. In this paper, we propose to utilize two knowledge-rich sources to tackle this problem, which are large pre-trained models and diverse existing corpora. The former can provide the primary ability to tackle summarization tasks; the latter can help discover common syntactic or semantic information to improve the generalization ability. We conduct extensive experiments on various summarization corpora with different writing styles and forms. The results demonstrate that our approach achieves the state-of-the-art on 6 corpora in low-resource scenarios, with only 0.7% of trainable parameters compared to previous work. ",38947724,38949380,https://www.aaai.org/AAAI21Papers/AAAI-68.ChenY.pdf,5-Feb,12:45AM-02:30AM,4-Feb,04:45PM-06:30PM,A,A,AC-D1-R1,H,4,Summarization / Discourse,http://widget1.virtualchair.net/custom/aaai/jump?paperId=68
AAAI-69,Structured Co-Reference Graph Attention for Video-Grounded Dialogue,Junyeong Kim|Sunjae Yoon|DaHyun Kim|Chang D. Yoo,Main Track,"A video-grounded dialogue system referred to as the Structured Co-reference Graph Attention (SCGA) is presented for decoding the answer sequence to a question regarding a given video while keeping track of the dialogue context.Although recent efforts have made great strides in improving the quality of the response, performance is still far from satisfactory. The two main challenging issues are as follows: (1) how to deduce co-reference among multiple modalities and (2) how to reason on the rich underlying semantic structure of video with complex spatial and temporal dynamics. To this end, SCGA is based on (1) Structured Co-reference Resolver that performs dereferencing via building a structured graph over multiple modalities, (2) Spatio-temporal Video Reasoner that captures local-to-global dynamics of video via gradually neighboring graph attention. SCGA makes use of pointer network to dynamically replicate parts of the question for decoding the answer sequence. The validity of the proposed SCGA is demonstrated on AVSD@DSTC7 and AVSD@DSTC8 datasets, a challenging video-grounded dialogue benchmarks, and TVQA dataset, a large-scale videoQA benchmark. Our empirical results show that SCGA outperforms other state-of-the-art dialogue systems on both benchmarks, while extensive ablation study and qualitative analysis reveal performance gain and improved interpretability.",38947725,38949381,https://www.aaai.org/AAAI21Papers/AAAI-69.KimJ.pdf,5-Feb,12:45AM-02:30AM,4-Feb,08:45AM-10:30AM,D,B,AB-D1-R2,K,7,Language and Vision,http://widget1.virtualchair.net/custom/aaai/jump?paperId=69
AAAI-73,Dual-Octave Convolution for Accelerated Parallel MR Image Reconstruction,Chunmei Feng|Zhanyuan Yang|Geng Chen|Yong Xu|Ling Shao,Main Track,"Magnetic resonance (MR) image acquisition is an inherently prolonged process, whose acceleration by obtaining multiple undersampled images simultaneously through parallel imaging has always been the subject of research. In this paper, we propose the Dual-Octave Convolution (Dual-OctConv), which is capable of learning multi-scale spatial-frequency features from both real and imaginary components, for fast parallel MR image reconstruction. By reformulating the complex operations using octave convolutions, our model shows a strong ability to capture richer representations of MR images, while at the same time greatly reducing the spatial redundancy. More specifically, the input feature maps and convolutional kernels are first split into two components (ie, real and imaginary), which are then divided into four groups according to their spatial frequencies. Then, our Dual-OctConv conducts intra-group information updating and inter-group information exchange to aggregate the contextual information across different groups. Our framework provides two appealing benefits: (i) it encourages interactions between real and imaginary components at various spatial frequencies to achieve richer representational capacity, and (ii) it enlarges the receptive field by learning multiple spatial-frequency features of both the real and imaginary components. We evaluate the performance of the proposed model on the acceleration of multi-coil MR image reconstruction. Extensive experiments are conducted on an in vivo knee dataset under different undersampling patterns and acceleration factors. The experimental results demonstrate the superiority of our model in accelerated parallel MR image reconstruction. The code is provided in the supplementary material.",38947726,38949382,https://www.aaai.org/AAAI21Papers/AAAI-73.FengCM.pdf,7-Feb,08:45AM-10:30AM,7-Feb,04:45PM-06:30PM,C,C,BC-D4-R1,G,4,Healthcare Applications,http://widget1.virtualchair.net/custom/aaai/jump?paperId=73
AAAI-80,Interpretable Embedding Procedure Knowledge Transfer via Stacked Principal Component Analysis and Graph Neural Network,Seunghyun Lee|Byung Cheol Song,Main Track,"Knowledge distillation (KD) is one of the most useful techniques for light-weight neural networks. Although neural networks have a clear purpose of embedding datasets into the low-dimensional space, the existing knowledge was quite farfrom this purpose and provided only limited information. We argue that good knowledge should be able to interpret the embedding procedure. This paper proposes a method of generating interpretable embedding procedure (IEP) knowledge based on principal component analysis, and distilling it based on a message passing neural network. Experimental results show that the student network trained by the proposed KD method improves 2.28% in the CIFAR100 dataset, which is a higher performance than the state-of-the-art (SOTA) method. We also demonstrate that the embedding procedure knowledge is interpretable via visualization of the proposed KD process. The implemented code is available at https://github.com/sseung0703/IEPKT.",38947727,38949383,https://www.aaai.org/AAAI21Papers/AAAI-80.LeeS.pdf,4-Feb,08:45AM-10:30AM,4-Feb,04:45PM-06:30PM,D,D,BC-D1-R2,E,4,Transfer/Adaptation/Multi-task/Meta/Automated Learning,http://widget1.virtualchair.net/custom/aaai/jump?paperId=80
AAAI-83,NuQClq: An Effective Local Search Algorithm for Maximum Quasi-Clique Problem,Jiejiang Chen|Shaowei Cai|Shiwei Pan|Yiyuan Wang|Qingwei Lin|Mengyu Zhao|Minghao Yin,Main Track,"The maximum quasi-clique problem (MQCP) is an important extension of maximum clique problem with wide applications. Recent heuristic MQCP algorithms can hardly solve large and hard graphs effectively. This paper develops an efficient local search algorithm named NuQClq for the MQCP, which has two main ideas. First, we propose a novel vertex selection strategy, which utilizes cumulative saturation information to be a selection criterion when the candidate vertices have equal values on the primary scoring function. Second, a variant of configuration checking named BoundedCC is designed by setting an upper bound for the threshold of forbidding strength. When the threshold value of vertex exceeds the upper bound, we reset its threshold value to increase the diversity of search process. Experiments on a broad range of classic benchmarks and sparse instances show that NuQClq significantly outperforms the state-of-the-art MQCP algorithms for most instances.",38947728,38949384,https://www.aaai.org/AAAI21Papers/AAAI-83.ChenJ.pdf,6-Feb,12:45AM-02:30AM,5-Feb,08:45AM-10:30AM,C,A,AB-D2-R1,A,7,Heuristic and Greedy Search,http://widget1.virtualchair.net/custom/aaai/jump?paperId=83
AAAI-86,MiniSeg: An Extremely Minimum Network for Efficient COVID-19 Segmentation,Yu Qiu|Yun Liu|Shijie Li|Jing Xu,Main Track,"The rapid spread of the new pandemic, i.e., COVID-19, has severely threatened global health. Deep-learning-based computer-aided screening, e.g., COVID-19 infected CT area segmentation, has attracted much attention. However, the publicly available COVID-19 training data are limited, easily causing overfitting for traditional deep learning methods that are usually data-hungry with millions of parameters. On the other hand, fast training/testing and low computational cost are also necessary for quick deployment and development of COVID-19 screening systems, but traditional deep learning methods are usually computationally intensive. To address the above problems, we propose MiniSeg, a lightweight deep learning model for efficient COVID-19 segmentation. Compared with traditional segmentation methods, MiniSeg has several significant strengths: i) it only has 83K parameters and is thus not easy to overfit; ii) it has high computational efficiency and is thus convenient for practical deployment; iii) it can be fast retrained by other users using their private COVID-19 data for further improving performance. In addition, we build a comprehensive COVID-19 segmentation benchmark for comparing MiniSeg to traditional methods.",38947729,38949385,https://www.aaai.org/AAAI21Papers/AAAI-86.QiuY.pdf,6-Feb,12:45AM-02:30AM,5-Feb,08:45AM-10:30AM,C,A,AB-D2-R1,H,1,Healthcare & Covid Applications,http://widget1.virtualchair.net/custom/aaai/jump?paperId=86
AAAI-103,AttaNet: Attention-Augmented Network for Fast and Accurate Scene Parsing,Qi Song|Kangfu Mei|Rui Huang,Main Track,"Two factors have proven to be very important to the performance of semantic segmentation models: global context and multi-level semantics. However, generating features that capture both factors always leads to high computational complexity, which is problematic in real-time scenarios. In this paper, we propose a new model, called Attention-Augmented Network (AttaNet), to capture both global context and multi-level semantics while keeping the efficiency high. AttaNet consists of two primary modules: Strip Attention Module (SAM) and Attention Fusion Module (AFM). Viewing that in challenging images with low segmentation accuracy, there are a significantly larger amount of vertical strip areas than horizontal ones, SAM utilizes a striping operation to reduce the complexity of encoding global context in the vertical direction drastically while keeping most of contextual information, compared to the non-local approaches. Moreover, AFM follows a cross-level aggregation strategy to limit the computation, and adopts an attention strategy to weight the importance of different levels of features at each pixel when fusing them, obtaining an efficient multi-level representation. We have conducted extensive experiments on two semantic segmentation benchmarks, and our network achieves different levels of speed/accuracy trade-offs on Cityscapes, e.g., 71 FPS/79.9% mIoU, 130 FPS/78.5% mIoU, and 180 FPS/70.1% mIoU, and leading performance on ADE20K as well.",38947730,38949386,https://www.aaai.org/AAAI21Papers/AAAI-103.SongQ.pdf,8-Feb,12:45AM-02:30AM,7-Feb,04:45PM-06:30PM,B,B,AC-D4-R2,G,5,Segmentation,http://widget1.virtualchair.net/custom/aaai/jump?paperId=103
AAAI-106,Learning to Copy Coherent Knowledge for Response Generation,Jiaqi Bai|Ze Yang|Xinnian Liang|Wei Wang|Zhoujun Li,Main Track,"Knowledge-driven dialog has shown remarkable performance to alleviate the problem of generating uninformative responses in the dialog system. However, incorporating knowledge coherently and accurately into response generation is still far from being solved. Previous works dropped into the paradigm of non-goal-oriented knowledge-driven dialog, they are prone to ignore the effect of dialog goal, which has potential impacts on knowledge exploitation and response generation. To address this problem, this paper proposes a Goal-Oriented Knowledge Copy network, GOKC. Specifically, a goal-oriented knowledge discernment mechanism is designed to help the model discern the knowledge facts that are highly correlated to the dialog goal and the dialog context. Besides, a context manager is devised to copy facts not only from the discerned knowledge but also from the dialog goal and the dialog context, which allows the model to accurately restate the facts in the generated response. The empirical studies are conducted on two benchmarks of goal-oriented knowledge-driven dialog generation. The results show that our model can significantly outperform several state-of-the-art models in terms of both automatic evaluation and human judgments.",38947731,38949387,https://www.aaai.org/AAAI21Papers/AAAI-106.BaiJiaqiC.pdf,8-Feb,12:45AM-02:30AM,7-Feb,04:45PM-06:30PM,A,A,AC-D4-R1,J,1,Conversational AI / Dialog Systems,http://widget1.virtualchair.net/custom/aaai/jump?paperId=106
