UID,title,authors,abstract,pdf_url,date1,time1,date2,time2,room_letter1,room_letter2,room,cluster,position,cluster_name,gather_town_link
UC-10,Efficient Robust Music Genre Classification with Depthwise Separable Convolutions and Source Separation,Gabriel A  Mersy,"Given recent advances in deep music source separation, a feature representation method is proposed that combines source separation with a state-of-the-art representation learning technique that is suitably repurposed for computer audition (i.e. machine listening). A depthwise separable convolutional neural network is trained on a challenging electronic dance music (EDM) data set and its performance is compared to convolutional neural networks operating on both source separated and standard spectrograms. It is shown that source separation improves classification performance in a limited-data setting compared to the standard single spectrogram approach.",https://www.aaai.org/AAAI21Papers/UC-10.MersyG.pdf,4-Feb,,,,E,,UC-D1-A,A,1,Undergraduate Consortium,http://widget1.virtualchair.net/custom/aaai/jump?paperId=UC-10
UC-29,Text Analysis for Understanding Symptoms of Social Anxiety in Student Veterans,Morgan  Byers|Vangelis Metsis,"A significant portion of the veteran population suffers from PTSD, a mental illness that is often accompanied by social anxiety disorder. Student veterans are especially vulnerable as they struggle to adapt to a new, less structured college lifestyle. In order to assist psychologists and social workers in the treatment of social anxiety disorder we use machine learning to analyze transcribed interview text and apply topic modelling to highlight common stress factors for student veterans. The results detailed in this paper also have broader impacts in fields such as pedagogy and public health.",https://www.aaai.org/AAAI21Papers/UC-29.ByersM.pdf,4-Feb,,,,E,,UC-D1-A,A,2,Undergraduate Consortium,http://widget1.virtualchair.net/custom/aaai/jump?paperId=UC-29
UC-30,Use of Computer Vision to Develop a Device to Assist Visually Impaired People with Social Distance,Lucas G  Nadolskis,"The project developed a device to assist blind and visually impaired users in complying with social distance rules. The main challenge was how to identify people from other objects and notify the user accordingly. Equally ambiguous was how to best notify the user that a person was violating the social distance rules. The hardware used is a Raspberry Pi running an image classification algorithm and hooked to a depth camera. The use of prediction labels and accuracy combined with the distance calculated by the depth camera made it possible to detect when a person was getting closer than 2 meters (6 ft) to the user. The device was tested both in daylight and at night, and with different lighting conditions. The device responded with a accuracy close to 1.9 meters. which is very acceptable. Testing showed that the camera is capable of identifying people coming from a 30 degrees angle from either side at around 1.9 meters of distance, giving a good range of object detection.",https://www.aaai.org/AAAI21Papers/UC-30.NadolskisLG.pdf,4-Feb,,,,E,,UC-D1-A,A,3,Undergraduate Consortium,http://widget1.virtualchair.net/custom/aaai/jump?paperId=UC-30
UC-34,Investigating Methods of Balancing Inequality and Efficiency in Ride Pooling,Naveen J  Raman,"Our research focuses on developing matching policies that match drivers and riders for ride-pooling services. We aim to develop policies that balance efficiency and various forms of fairness. We did this through two methods: new matching algorithms that include a fairness term in the objective function, and income redistribution methods based on the Shapley value of a driver. I tested these methods on New York City Taxicab data to evaluate their performance and found that they succeed in reducing certain forms of fairness.",https://www.aaai.org/AAAI21Papers/UC-34.RamanNJ.pdf,4-Feb,,,,E,,UC-D1-A,A,4,Undergraduate Consortium,http://widget1.virtualchair.net/custom/aaai/jump?paperId=UC-34
UC-40,Bison Hacks the Yard: Assisting Underrepresented Students Overcome Impostor Syndrome with Augmented Reality and Artificial Intelligence,Nicole M  Sullivan,"The prevalence of impostor syndrome in computer science students from underrepresented backgrounds contributes to low retention rates. Bison Hacks the Yard is an augmented reality game that aims to reduce impostor syndrome in underrepresented students by presenting a novel way to strengthen their knowledge of fundamental data structures and providing specialized videos of Historically Black College or University alumni, sharing their struggles with impostor syndrome.",https://www.aaai.org/AAAI21Papers/UC-40.SullivanN.pdf,4-Feb,,,,E,,UC-D1-A,A,5,Undergraduate Consortium,http://widget1.virtualchair.net/custom/aaai/jump?paperId=UC-40
UC-46,Analyzing Games with a Variable Number of Players,Madelyn  Gatchel,"We introduce a novel technique that uses a multi-headed neural network to analyze symmetric games with a variable number of players. Many of the most impactful real-world applications of game theory, including kidney exchange, school choice, wildlife poaching prevention, and consumer protection, involve interactions with an unknown number of participants. Thus a normal-form game with a fixed number of players might be an insufficient model. Our research focuses on analyzing games with a variable number of players, where the number of participants falls in a specified range. We hypothesize that the payoffs in a game with x players are similar or related to the same game with x + 1 players, given a large value of x. With this hypothesis, we generalize prior work to analyze games with a large, variable number of players.",https://www.aaai.org/AAAI21Papers/UC-46.GatchelM.pdf,4-Feb,,,,E,,UC-D1-A,A,6,Undergraduate Consortium,http://widget1.virtualchair.net/custom/aaai/jump?paperId=UC-46
UC-47,Affect-Aware Machine Learning Models for Detecting Deception,Leena  Mathur,"Automated deception detection systems can enhance societal well-being by helping humans detect deceivers and support people in high-stakes situations across health, social work, and legal domains. Existing computational approaches for detecting deception have not leveraged dimensional representations of affect, specifically valence and arousal, expressed during communication. My research presents a novel analysis of the potential for including affect in machine learning models for detecting deception. My work informs and motivates the development of affect-aware machine learning approaches for modeling deception and other social behaviors during human interactions in-the-wild. This research, independently defined and conducted by me, is from work-in-progress towards my undergraduate thesis in the Department of Computer Science at the University of Southern California.",https://www.aaai.org/AAAI21Papers/UC-47.MathurL.pdf,4-Feb,,,,E,,UC-D1-A,A,7,Undergraduate Consortium,http://widget1.virtualchair.net/custom/aaai/jump?paperId=UC-47
UC-49,Probabilistic Robustness Quantification of Neural Networks,Gopi  Kishan|Apurva Narayan,"Safety properties of neural networks are critical to their application in safety-critical domains. Quantification of their robustness against uncertainties is an upcoming area of research. In this work, we propose an approach for providing probabilistic guarantees on the performance of a trained neural network. We present two novel metrics for probabilistic verification on training data distribution and test dataset. Given a trained neural network, we quantify the probability of the model to make errors on a random sample drawn from the training data distribution. Second, from the output logits of a sample test point, we measure its p-value on the learned logit distribution to quantify the confidence of the model at this test point. We compare our results with softmax based metric using the black-box adversarial attacks on a simple CNN architecture trained for MNIST digit classification.",https://www.aaai.org/AAAI21Papers/UC-49.KishanG.pdf,4-Feb,,,,E,,UC-D1-B,B,1,Undergraduate Consortium,http://widget1.virtualchair.net/custom/aaai/jump?paperId=UC-49
UC-56,Evolving Spiking Circuit Motifs Using Weight Agnostic Neural Networks,Abrar  Anwar,"Neural architecture search (NAS) has emerged as an algorithmic method of developing neural network architectures. Weight Agnostic Neural Networks (WANNs) are an evolutionary-based NAS approach. Fundamentally, WANNs find network structures that are relatively insensitive to shifts in weight values and are typically much smaller than an equivalent performance dense network. Here, we extend the WANN framework to search for spiking circuits and in doing so investigate whether these circuit motifs can also yield task performance that is weight agnostic. We analyze properties such as the complexity of the solution, as well as performance. Our results successfully show the performance of spiking WANNs on several exemplar tasks.",https://www.aaai.org/AAAI21Papers/UC-56.AnwarA.pdf,4-Feb,,,,E,,UC-D1-B,B,2,Undergraduate Consortium,http://widget1.virtualchair.net/custom/aaai/jump?paperId=UC-56
UC-59,The Price of Anarchy in ROSCAS with Risk Averse Agents,Christian  Ikeokwu,"Rotating Savings and Credit Associations (Roscas) are a widely documented informal financial organization that is often used in low-income communities with limited funding sources. Roscas have been shown to serve as a tool for economic empowerment and a way of mitigating adverse shocks to income for vulnerable communities. In this paper, I describe my contributions to a  research project in which we study the allocative efficiency of different Rosca structures and formats in the presence of risk-averse agents.",https://www.aaai.org/AAAI21Papers/UC-59.IkeokwuC.pdf,4-Feb,,,,E,,UC-D1-B,B,3,Undergraduate Consortium,http://widget1.virtualchair.net/custom/aaai/jump?paperId=UC-59
